finding_id,run_id,pr_number,task_id,condition,version,include_in_analysis,pipeline,tool,rule_id,cwe_id,severity,file_path,start_line,end_line,message,fingerprint,candidate_key,artifact_source
F-0027,task-4-human-only,,T4,human-only,1,true,security-gated,spotbugs,DM_CONVERT_CASE,,low,com/thesis/securitystudy/service/SearchService.java,45,45,"Use of non-localized String.toUpperCase() or String.toLowerCase() in com.thesis.securitystudy.service.SearchService.sortResults(List, String)",26fd3ca5404ddb68,6db28405b2ec4768,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-human-only\artifacts\spotbugs.xml
F-0028,task-4-human-only,,T4,human-only,1,true,security-gated,spotbugs,IMPROPER_UNICODE,CWE-176,low,com/thesis/securitystudy/service/SearchService.java,45,45,Improper handling of Unicode transformations such as case mapping and normalization.,6cc86d77e6c02ff6,15055d0ac2ce79ad,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-human-only\artifacts\spotbugs.xml
F-0029,task-4-low-ai,,T4,low-ai,1,true,security-gated,spotbugs,DM_CONVERT_CASE,,low,com/thesis/securitystudy/service/SearchService.java,48,48,Use of non-localized String.toUpperCase() or String.toLowerCase() in com.thesis.securitystudy.service.SearchService.lambda$sortResults$0(Note),1e20aa5d1adac276,5083f5861fabc9df,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-low-ai\artifacts\spotbugs.xml
F-0030,task-4-low-ai,,T4,low-ai,1,true,security-gated,spotbugs,IMPROPER_UNICODE,CWE-176,low,com/thesis/securitystudy/service/SearchService.java,46,46,Improper handling of Unicode transformations such as case mapping and normalization.,861ee5ea9bac8b7f,a11f49fe4f59281f,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-low-ai\artifacts\spotbugs.xml
F-0031,task-4-low-ai,,T4,low-ai,1,true,security-gated,spotbugs,IMPROPER_UNICODE,CWE-176,low,com/thesis/securitystudy/service/SearchService.java,53,53,Improper handling of Unicode transformations such as case mapping and normalization.,e09602553e125742,32ace684cdf17077,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-low-ai\artifacts\spotbugs.xml
F-0032,task-5-high-ai,,T5,high-ai,1,true,security-gated,codeql,java/path-injection,,medium,src/main/java/com/thesis/securitystudy/service/FileStorageService.java,55,55,This path depends on a [user-provided value](1). This path depends on a [user-provided value](2).,af588e4f33ec03a9,410aca438d632b36,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-high-ai\artifacts\java.sarif
F-0033,task-5-high-ai,,T5,high-ai,1,true,security-gated,semgrep,gitlab.find_sec_bugs.PATH_TRAVERSAL_IN-1,CWE-22,high,src/main/java/com/thesis/securitystudy/service/FileStorageService.java,30,30,"A file is opened to read its content. The filename comes from an input parameter. If an unfiltered parameter is passed to this file API, files from an arbitrary filesystem location could be read. This rule identifies potential path traversal vulnerabilities. In many cases, the constructed file path cannot be controlled by the user.",7fd018c6f3344310,c64876d5a2c5fb02,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-high-ai\artifacts\semgrep-results.json
F-0034,task-5-high-ai,,T5,high-ai,1,true,security-gated,spotbugs,REC_CATCH_EXCEPTION,CWE-396,low,com/thesis/securitystudy/controller/FileController.java,109,109,Exception is caught when Exception is not thrown in com.thesis.securitystudy.controller.FileController.toDto(FileEntity),3ea75379383bec8c,50fddae10f36fb94,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-high-ai\artifacts\spotbugs.xml
F-0035,task-5-high-ai,,T5,high-ai,1,true,security-gated,spotbugs,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,CWE-476,low,com/thesis/securitystudy/service/FileStorageService.java,46,46,"Possible null pointer dereference in com.thesis.securitystudy.service.FileStorageService.storeFile(MultipartFile, User) due to return value of called method",93d8d931f493bb9a,edb29a0f4ff21ff3,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-high-ai\artifacts\spotbugs.xml
F-0036,task-5-high-ai,,T5,high-ai,1,true,security-gated,spotbugs,PATH_TRAVERSAL_IN,CWE-22,low,com/thesis/securitystudy/service/FileStorageService.java,30,30,This API (java/nio/file/Paths.get(Ljava/lang/String;[Ljava/lang/String;)Ljava/nio/file/Path;) reads a file whose location might be specified by user input,5ca18288809d9391,29801d2a04dffde6,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-high-ai\artifacts\spotbugs.xml
F-0037,task-5-high-ai,,T5,high-ai,1,true,security-gated,spotbugs,PATH_TRAVERSAL_IN,CWE-22,low,com/thesis/securitystudy/service/FileStorageService.java,94,94,This API (java/nio/file/Paths.get(Ljava/lang/String;[Ljava/lang/String;)Ljava/nio/file/Path;) reads a file whose location might be specified by user input,d4c3ec4b5e5a570c,72d0bc50211759b5,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-high-ai\artifacts\spotbugs.xml
F-0038,task-5-human-only,,T5,human-only,1,true,security-gated,semgrep,gitlab.find_sec_bugs.PATH_TRAVERSAL_IN-1,CWE-22,high,src/main/java/com/thesis/securitystudy/service/FileStorageService.java,36,36,"A file is opened to read its content. The filename comes from an input parameter. If an unfiltered parameter is passed to this file API, files from an arbitrary filesystem location could be read. This rule identifies potential path traversal vulnerabilities. In many cases, the constructed file path cannot be controlled by the user.",32cf9cf8d637baac,cd36783af73f699c,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-human-only\artifacts\semgrep-results.json
F-0039,task-5-human-only,,T5,human-only,1,true,security-gated,spotbugs,PATH_TRAVERSAL_IN,CWE-22,low,com/thesis/securitystudy/service/FileStorageService.java,36,36,This API (java/nio/file/Paths.get(Ljava/lang/String;[Ljava/lang/String;)Ljava/nio/file/Path;) reads a file whose location might be specified by user input,0e22e9054c6a9492,2baa26b3229d6bd4,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-human-only\artifacts\spotbugs.xml
F-0040,task-5-human-only,,T5,human-only,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,,low,com/thesis/securitystudy/service/FileStorageService.java,44,44,Method intentionally throws RuntimeException.,35f31ee251a7f670,bdc52c7cddb16445,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-human-only\artifacts\spotbugs.xml
F-0041,task-5-low-ai,,T5,low-ai,1,true,security-gated,codeql,java/path-injection,,medium,src/main/java/com/thesis/securitystudy/service/FileStorageService.java,73,73,This path depends on a [user-provided value](1). This path depends on a [user-provided value](2).,16304698b184a2f6,703e85eef8efb6d1,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-low-ai\artifacts\java.sarif
F-0042,task-5-low-ai,,T5,low-ai,1,true,security-gated,semgrep,gitlab.find_sec_bugs.PATH_TRAVERSAL_IN-1,CWE-22,high,src/main/java/com/thesis/securitystudy/service/FileStorageService.java,34,34,"A file is opened to read its content. The filename comes from an input parameter. If an unfiltered parameter is passed to this file API, files from an arbitrary filesystem location could be read. This rule identifies potential path traversal vulnerabilities. In many cases, the constructed file path cannot be controlled by the user.",bfd9a4f430bb1295,05a5995927529f2a,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-low-ai\artifacts\semgrep-results.json
F-0043,task-5-low-ai,,T5,low-ai,1,true,security-gated,spotbugs,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,CWE-476,low,com/thesis/securitystudy/service/FileStorageService.java,141,141,Possible null pointer dereference in com.thesis.securitystudy.service.FileStorageService.resolveStoredPath(FileEntity) due to return value of called method,fd758cc2e62037ba,84869d5eb8752458,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-low-ai\artifacts\spotbugs.xml
F-0044,task-5-low-ai,,T5,low-ai,1,true,security-gated,spotbugs,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,CWE-476,low,com/thesis/securitystudy/service/FileStorageService.java,55,55,"Possible null pointer dereference in com.thesis.securitystudy.service.FileStorageService.storeFile(MultipartFile, User) due to return value of called method",0427b9f39a14bebc,801d526afbc7da80,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-low-ai\artifacts\spotbugs.xml
F-0045,task-5-low-ai,,T5,low-ai,1,true,security-gated,spotbugs,PATH_TRAVERSAL_IN,CWE-22,low,com/thesis/securitystudy/service/FileStorageService.java,34,34,This API (java/nio/file/Paths.get(Ljava/lang/String;[Ljava/lang/String;)Ljava/nio/file/Path;) reads a file whose location might be specified by user input,a859f48029411b3d,665c7874907c9480,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-low-ai\artifacts\spotbugs.xml
F-0046,task-5-low-ai,,T5,low-ai,1,true,security-gated,spotbugs,PATH_TRAVERSAL_IN,CWE-22,low,com/thesis/securitystudy/service/FileStorageService.java,137,137,This API (java/nio/file/Paths.get(Ljava/lang/String;[Ljava/lang/String;)Ljava/nio/file/Path;) reads a file whose location might be specified by user input,6605a38d897c3273,7cb4fe33de6721ac,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-5-low-ai\artifacts\spotbugs.xml
F-0047,task-6-high-ai,,T6,high-ai,1,true,security-gated,spotbugs,REC_CATCH_EXCEPTION,CWE-396,low,com/thesis/securitystudy/service/AuthService.java,128,128,Exception is caught when Exception is not thrown in com.thesis.securitystudy.service.AuthService.getClientIp(),c17bf03bf1e640a8,1189d89511ad0faa,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-6-high-ai\artifacts\spotbugs.xml
F-0048,task-6-low-ai,,T6,low-ai,1,true,security-gated,spotbugs,URF_UNREAD_FIELD,,low,com/thesis/securitystudy/controller/AuthController.java,21,21,Unread field: com.thesis.securitystudy.controller.AuthController.request,c3b537bca7373943,4c2f4a1aa1783ac8,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-6-low-ai\artifacts\spotbugs.xml
